Player,Left Team,Joined Team
Giuseppe Savoldi,Bologna,Napoli
Marco Tardelli,Como,Juventus
Branko Oblak,Hajduk Split,FC Schalke 04
Peter Ressel,Feyenoord,RSC Anderlecht
Nico Jansen,FC Amsterdam,Feyenoord
Leighton James,Burnley,Derby
Kurt Jara,Valencia,MSV Duisburg
Danilo Popivoda,NK Olimpija,E. Braunschweig
Erwin Kostedde,K. Offenbach,Hertha BSC
Geert Meijer,FC Amsterdam,Ajax
Dave Watson,Sunderland,Man City
Josef Stering,SK VOEST Linz,Wattens-Wacker
Winfried Schäfer,K. Offenbach,Karlsruher SC
Rüdiger Wenzel,FC St. Pauli,E. Frankfurt
Hans-Günter Neues,Fortuna Köln,RW Essen
Leivinha,Palmeiras,Atlético Madrid
Luís Pereira,Palmeiras,Atlético Madrid
Horst Blankenburg,Ajax,Hamburger SV
Roger Henrotay,Standard Liège,R Charleroi SC
Johan Zuidema,FC Twente,NEC
Janusz Kowalik,NEC,Chicago Sting
Lex Schoenmaker,Feyenoord,FC Den Haag
Hugo Hovenkamp,FC Groningen,AZ '67
Juan Sol,Valencia,Real Madrid
George Kottán,SK VOEST Linz,Bay. Uerdingen
Sip Bloemberg,FC Groningen,RWD Molenbeek
John Burridge,Blackpool,Aston Villa
Hans Ettmayer,VfB Stuttgart,Hamburger SV
Joey Jones,Wrexham,Liverpool
Tscheu La Ling,FC Den Haag,Ajax
Charlie George,Arsenal,Derby
Manuel Fernández,Celta de Vigo,Español
Alfredo Megido,Sporting Gijón,Granada CF
Gerard van der Lem,FC Amsterdam,Roda JC
Terry Hibbitt,Newcastle,Birmingham
Chris Guthrie,Southend United,Sheff Utd
Peter Eastoe,Swindon Town,QPR
Ray Train,Carlisle United,Sunderland
Gordon Hill,Millwall,Man Utd
Paco Baena,Cádiz CF,Atlético Madrid
John Hollins,Chelsea,QPR
Hannes Lalopua,Heracles,F. Düsseldorf
Phil Boersma,Liverpool,Middlesbrough
Matthias Brücken,B. Leverkusen,1.FC Köln
Enzo Ferrero,Boca Juniors,Sporting Gijón
Gerhard Heinze,VfB Stuttgart,MSV Duisburg
